2023-07-01;17:51:30.316;[0] PING;2023-07-01;17:51:30.876;[0] PONG (2)
2023-07-01;17:51:30.963;[0] PING;2023-07-01;17:51:31.541;[1] PONG (1)
2023-07-01;17:51:31.733;[1] PING;2023-07-01;17:51:32.107;[4] PONG (2)
2023-07-01;17:51:33.656;[1] PING;2023-07-01;17:51:34.400;[5] PONG (1)
2023-07-01;17:51:35.106;[2] PING;2023-07-01;17:51:35.681;[6] PONG (2)
2023-07-01;17:51:35.855;[2] PING;(проигнорировано);(проигнорировано);
2023-07-01;17:51:37.637;[3] PING;2023-07-01;17:51:38.201;[9] PONG (1)
2023-07-01;17:51:38.085;[3] PING;2023-07-01;17:51:38.836;[10] PONG (2)
2023-07-01;17:51:40.015;[4] PING;2023-07-01;17:51:40.630;[11] PONG (1)
2023-07-01;17:51:41.752;[4] PING;2023-07-01;17:51:41.856;[12] PONG (2)
2023-07-01;17:51:42.624;[5] PING;2023-07-01;17:51:43.325;[15] PONG (1)
2023-07-01;17:51:44.567;[5] PING;2023-07-01;17:51:45.011;[16] PONG (2)
2023-07-01;17:51:44.509;[6] PING;2023-07-01;17:51:45.075;[17] PONG (1)
2023-07-01;17:51:45.496;[7] PING;2023-07-01;17:51:46.039;[18] PONG (1)
2023-07-01;17:51:46.085;[6] PING;2023-07-01;17:51:46.781;[19] PONG (2)
2023-07-01;17:51:47.080;[8] PING;2023-07-01;17:51:47.377;[22] PONG (1)
2023-07-01;17:51:47.715;[9] PING;2023-07-01;17:51:48.470;[23] PONG (1)
2023-07-01;17:51:48.053;[7] PING;2023-07-01;17:51:48.575;[24] PONG (2)
2023-07-01;17:51:49.768;[10] PING;2023-07-01;17:51:50.407;[25] PONG (1)
2023-07-01;17:51:51.312;[8] PING;2023-07-01;17:51:51.757;[26] PONG (2)
2023-07-01;17:51:52.424;[9] PING;2023-07-01;17:51:53.214;[29] PONG (2)
2023-07-01;17:51:53.075;[11] PING;2023-07-01;17:51:53.236;[30] PONG (1)
2023-07-01;17:51:53.967;[10] PING;2023-07-01;17:51:54.177;[31] PONG (2)
